subject_id,project_id,workflow_id,subject_set_id,metadata,locations,classifications_count,retired_at,retirement_reason
10591500,4786,4351,12945,"{""id"":""31"",""image1"":""Velocity.jpg"",""image2"":""VTA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/64694ddc-7ed8-49cc-9b93-3b6d8721a3b4.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/eb5e4f06-2934-4de2-a579-462bfefd9d74.png""}",7,,
10591500,4786,4459,12945,"{""id"":""31"",""image1"":""Velocity.jpg"",""image2"":""VTA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/64694ddc-7ed8-49cc-9b93-3b6d8721a3b4.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/eb5e4f06-2934-4de2-a579-462bfefd9d74.png""}",0,,
10591501,4786,4351,12945,"{""id"":""32"",""image1"":""Velocity.jpg"",""image2"":""VTA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/40b9dc57-5cfc-402e-a9b4-9b4ebb401ff7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/cc97b63b-507d-4473-bbc0-1b075f6a4c53.png""}",7,,
10591501,4786,4459,12945,"{""id"":""32"",""image1"":""Velocity.jpg"",""image2"":""VTA2.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/40b9dc57-5cfc-402e-a9b4-9b4ebb401ff7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/cc97b63b-507d-4473-bbc0-1b075f6a4c53.png""}",0,,
10591502,4786,4351,12945,"{""id"":""33"",""image1"":""Velocity.jpg"",""image2"":""VTA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a7bd24f4-de61-469c-9d5e-029b8d3aac9a.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/52b0a6a2-1d61-4be5-b84e-c9fab92de65e.png""}",7,,
10591502,4786,4459,12945,"{""id"":""33"",""image1"":""Velocity.jpg"",""image2"":""VTA3.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/a7bd24f4-de61-469c-9d5e-029b8d3aac9a.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/52b0a6a2-1d61-4be5-b84e-c9fab92de65e.png""}",0,,
10592027,4786,4351,13003,"{""id"":""1"",""image1"":""Temperature.jpg"",""image2"":""TempA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e800ef9b-a607-42a7-b8eb-2acc0357ba0d.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/35ca199f-0b30-4aa2-bd64-0c5550d98fc1.png""}",7,,
10592027,4786,4459,13003,"{""id"":""1"",""image1"":""Temperature.jpg"",""image2"":""TempA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/e800ef9b-a607-42a7-b8eb-2acc0357ba0d.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/35ca199f-0b30-4aa2-bd64-0c5550d98fc1.png""}",0,,
10592030,4786,4351,13003,"{""id"":""2"",""image1"":""Graphene.jpg"",""image2"":""GrapheneA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/178db287-f6a1-4f56-aefb-1e45b1c61b58.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9483065b-d584-4451-8acc-cde689f1af53.png""}",7,,
10592030,4786,4459,13003,"{""id"":""2"",""image1"":""Graphene.jpg"",""image2"":""GrapheneA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/178db287-f6a1-4f56-aefb-1e45b1c61b58.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/9483065b-d584-4451-8acc-cde689f1af53.png""}",0,,
10592032,4786,4351,13003,"{""id"":""3"",""image1"":""Reservoir.jpg"",""image2"":""HeatA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/eede23e4-a32c-4950-826c-c7ae0aec47c7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c1cf35ff-4941-4e6f-b334-bfa603b7afe6.png""}",7,,
10592032,4786,4459,13003,"{""id"":""3"",""image1"":""Reservoir.jpg"",""image2"":""HeatA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/eede23e4-a32c-4950-826c-c7ae0aec47c7.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/c1cf35ff-4941-4e6f-b334-bfa603b7afe6.png""}",0,,
10592034,4786,4351,13003,"{""id"":""4"",""image1"":""Eye.jpg"",""image2"":""EyeA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/b0d88385-02ed-4cae-bad2-c0dd4bb06298.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/98ee9f80-033d-46f5-84d9-65a5acd478e9.png""}",7,,
10592034,4786,4459,13003,"{""id"":""4"",""image1"":""Eye.jpg"",""image2"":""EyeA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/b0d88385-02ed-4cae-bad2-c0dd4bb06298.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/98ee9f80-033d-46f5-84d9-65a5acd478e9.png""}",0,,
10592036,4786,4351,13003,"{""id"":""5"",""image1"":""Feynmann.jpg"",""image2"":""PdecayA1.png""}","{""0"":""https://panoptes-uploads.zooniverse.org/production/subject_location/228141a2-1658-4214-9ff2-9ba0cf481af1.jpeg"",""1"":""https://panoptes-uploads.zooniverse.org/production/subject_location/3fd360a1-5358-43ab-a2ef-a76a5f308a4f.png""}",7,,
